Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
tunnels_logan_cbabd83b		An unknown amout of time passes before Quinn manages to wake up	game/level1.rpy	27	"[what]"
tunnels_logan_d0e4d442	q	Ugh...my head	game/level1.rpy	32	q "[what]"
tunnels_logan_21d56b27		Quinn grabs his head, as he has a splitting headache that threatens to turn the content of his stomach the opposite way.	game/level1.rpy	34	"[what]"
tunnels_logan_65384040	q	What... eh? A note?	game/level1.rpy	36	q "[what]"
tunnels_logan_1279e1c7		He grabs the note with his hand, and recognizes Logan's handwriting from this	game/level1.rpy	41	"[what]"
tunnels_logan_6033a62b		He reads it for a while but fails to make sense of it immediately	game/level1.rpy	43	"[what]"
tunnels_logan_e7aacdb3	q	But, what does this all mean? 'Use the shafts'? 'don't be seen'? 'red'-wait	game/level1.rpy	45	q "[what]"
tunnels_logan_dc8c5ccd	q	That thing... I remember	game/level1.rpy	55	q "[what]"
tunnels_logan_e0030e23		He glances around, and recognizes that he is not inside a room or the medical bay...	game/level1.rpy	57	"[what]"
tunnels_logan_05be4400		He is inside a ventilation shaft.	game/level1.rpy	59	"[what]"
tunnels_logan_d49d42ee		The ventilation shaft was a narrow, dark, and compressed passageway that wound its way through the heart of the spaceship.	game/level1.rpy	61	"[what]"
tunnels_logan_38022ef0		It was barely large enough for a human to squat through, and the only light came from the faint glow of the emergency lights that were scattered at intervals along the walls.	game/level1.rpy	63	"[what]"
tunnels_logan_ab8ed2f5	q	Just what the hell happened here?	game/level1.rpy	65	q "[what]"
tunnels_logan_6afd1ed8		Had he not experienced the red eye's glance before, he would not have believed any of this to be anything but a joke, a prank played to him by some of the crew	game/level1.rpy	67	"[what]"
tunnels_logan_25f60900		But he felt it in his guts, there was something else going on here	game/level1.rpy	69	"[what]"
tunnels_logan_3b90e6e4	q	Alright, let's just do as he said, keep to the shafts... fuck	game/level1.rpy	71	q "[what]"
tunnels_logan_0ef02a4d		There was one problem with that...Quinn had a problem with enclosed spaces, especifically, he suffered from claustrophobia.	game/level1.rpy	73	"[what]"
tunnels_logan_d1bb0a4e	q	Well, this had to happened sooner or later, facing your fears... I should have gone to therapy sooner	game/level1.rpy	75	q "[what]"
tunnels_logan_19de1921	q	Forget about it, let's see, the shafts are not connected to each other, they connect areas to other areas but they are not connected to each other, so I have to use the shaft to go to a room, and then enter the next shaft there	game/level1.rpy	77	q "[what]"
tunnels_logan_e4e7d97e	q	Why did they really have to design this freaking ship like this...I have no idea where I am right now, so I guess I have to go to the next room and see, find out how far I am from the docks	game/level1.rpy	79	q "[what]"
tunnels_logan_0770f8cb	q	Alright Quinn, you've got this... you've got this	game/level1.rpy	81	q "[what]"
tunnels_logan_0d2ba8c9		The air in the shaft felt thick and heavy, as if he was walking through a swamp, and it was difficult to breathe. The metal walls grated against Quinn's skin as he had to advance some parts squatting, some parts crawling through the narrow space.	game/level1.rpy	86	"[what]"
tunnels_logan_122f05da		Quinn's heart pounded in his chest, and breaths came in shallow gasps.	game/level1.rpy	88	"[what]"
tunnels_logan_67be2b54		He had to swallow his own panic to be able to continue forward. And he did, until he finally found the end of this particular shaft. The shafts had the particularity of being easy to enter, as a ship so crowded like this one needed a way for emergency staff to move through rooms without having to navigate crowds of people.	game/level1.rpy	90	"[what]"
tunnels_logan_11e97237		At the end of the shaft, a small door, barely enough to crawl out of, was a beacon of misguided hope for Quinn, who at this point only wished to be out of this horrible situation.	game/level1.rpy	92	"[what]"
tunnels_logan_cf7e9488		But then, the smell, it hit him... A ventilation shaft does, well, ventilate, and the many smells of each room go through it until they are extinguished by the next room's smell. But this smell, it was not a smell that should be found here, it was metallic and acrid, leaving a foul taste in one's mouth.	game/level1.rpy	94	"[what]"
tunnels_logan_23f3b8fb		It smelled of blood.	game/level1.rpy	96	"[what]"
tunnels_logan_d267661a	q	...	game/level1.rpy	103	q "[what]"
tunnels_logan_36d1c910		Quinn's heart skipped a beat, and he felt his stomach turn. He had to swallow his own vomit, and he felt his eyes water.	game/level1.rpy	105	"[what]"
tunnels_logan_532911da		He recognized this pathway, this is one of the main corridors of the ship, connected on one side to the dining hall, and another to one of the living quarters.	game/level1.rpy	107	"[what]"
tunnels_logan_a59ae3b5		The once dark silver metallic pathway is now a sickly red, splattered with blood and gore, painting a macabre scene that sends shivers down the spine.	game/level1.rpy	109	"[what]"
tunnels_logan_08ca576f		The walls are adorned with dark streaks and handprints, radiating the desperation of the ones that were here before.	game/level1.rpy	111	"[what]"
tunnels_logan_a7b5a9ef		This... this was a massacre, a slaughter, a bloodbath. What the hell happened here?!	game/level1.rpy	113	"[what]"
tunnels_logan_364330d4		As Quinn turns back as fast as he can, he can no longer hold his puke, and let's it all out inside the shaft, now filled with the combinated smells of blood and vomit.	game/level1.rpy	123	"[what]"
tunnels_logan_25c4a879	q	...I-I can't...	game/level1.rpy	127	q "[what]"
tunnels_logan_9125da5d		His breathing was ragged, he felt like he was about to pass out, but the memory of what happened before came to him. Who knew how things would look if he were to pass out again? He had to move, quickly.	game/level1.rpy	129	"[what]"
tunnels_logan_6f87f1e4		He focused as much as possible on his survival, trying to forget about the smells and how it felt like the walls of the shaft moved and closed in on him. He moved forward...	game/level1.rpy	131	"[what]"
tunnels_logan_62f21c95		Only to find himself face to face with debris blocking the other side of the shaft.	game/level1.rpy	133	"[what]"
tunnels_logan_2e8e6686		He felt his heart skip a beat, and his mind struggling to accept this.	game/level1.rpy	135	"[what]"
tunnels_logan_6e8ec6ca	q	The note...	game/level1.rpy	137	q "[what]"
